ps,knee_deg,Rg_A,D457-K688,D595-K688
5300.0,138.16,55.46,9.38,2.92
5400.0,138.37,55.64,7.94,3.02
5500.0,140.95,55.69,7.58,2.77
5600.0,142.19,55.13,6.92,2.79
5700.0,140.62,54.49,7.73,2.77
5800.0,138.86,54.84,9.45,6.33
5900.0,139.19,54.9,7.82,3.6
6000.0,143.37,54.82,9.03,2.95
6100.0,141.88,55.2,8.56,3.02
6200.0,144.17,55.2,8.04,2.86
6300.0,143.12,55.49,7.43,2.86
6400.0,145.92,55.38,6.99,2.68
6500.0,145.07,55.31,7.2,2.84
6600.0,143.69,55.62,7.04,2.78
6700.0,140.9,55.41,7.3,2.83
6800.0,134.77,54.94,6.58,3.1
6900.0,135.7,54.59,6.47,2.94
7000.0,137.04,54.22,8.67,2.82
7100.0,137.31,54.37,6.54,2.7
7200.0,138.98,55.14,7.73,2.77
7300.0,138.87,55.28,5.35,2.78
7400.0,138.23,55.66,8.34,2.71
7500.0,139.7,55.59,7.63,2.8
7600.0,140.54,55.88,9.18,4.75
7700.0,143.6,55.56,6.18,2.88
7800.0,143.89,56.19,6.77,2.64
7900.0,145.05,55.45,7.21,3.06
8000.0,141.41,55.46,8.11,5.09
8100.0,141.35,55.38,7.52,2.76
8200.0,141.42,54.85,8.03,2.78
8300.0,139.97,54.37,7.52,3.12
8400.0,136.8,54.04,7.64,2.98
8500.0,135.13,54.11,7.15,3.13
8600.0,138.62,54.2,5.11,3.67
8700.0,139.71,55.33,7.14,2.9
8800.0,140.16,54.72,10.68,7.23
8900.0,139.35,54.41,10.61,7.77
9000.0,140.92,54.19,12.63,8.49
9100.0,139.74,53.77,9.93,7.06
9200.0,138.58,53.83,7.11,2.79
9300.0,136.56,53.6,10.03,5.76
9400.0,136.73,53.37,8.52,2.99
9500.0,135.2,53.87,8.27,2.77
9600.0,137.2,53.51,7.1,2.88
9700.0,136.32,53.11,7.26,2.74
9800.0,135.58,53.3,8.76,2.74
9900.0,137.34,53.82,7.6,3.01
10000.0,136.43,53.94,5.61,2.81
10100.0,136.31,53.38,7.16,3.15
10200.0,134.22,53.06,7.04,2.8
10300.0,135.11,53.73,5.93,2.75
10400.0,137.29,54.09,4.85,2.84
10500.0,139.65,53.78,6.47,2.83
10600.0,140.99,53.72,5.45,2.83
10700.0,139.28,53.5,7.95,2.77
10800.0,139.08,53.13,7.03,2.85
10900.0,137.89,53.9,7.21,2.64
11000.0,137.18,53.77,7.46,3.11
11100.0,135.36,53.34,7.26,2.96
11200.0,135.69,53.49,7.65,2.91
11300.0,137.17,53.26,7.56,2.76
11400.0,138.24,53.04,8.92,2.89
11500.0,141.45,53.53,6.94,2.82
11600.0,138.56,53.93,9.48,6.75
11700.0,139.07,54.18,9.59,7.6
11800.0,136.33,53.87,7.94,2.75
11900.0,133.44,53.89,7.04,2.93
12000.0,137.89,53.57,7.86,2.81
12100.0,137.06,53.84,7.86,3.01
12200.0,137.21,53.8,8.32,2.87
12300.0,138.71,53.46,8.09,2.69
12400.0,137.64,53.98,4.34,2.75
12500.0,136.6,53.33,9.67,2.71
12600.0,137.69,53.64,6.77,3.77
12700.0,136.39,53.31,7.47,2.76
12800.0,137.17,53.21,8.48,2.72
12900.0,138.3,53.48,8.82,2.69
13000.0,137.82,53.01,8.17,2.72
13100.0,139.62,53.39,6.09,2.85
13200.0,140.03,53.44,9.98,6.78
13300.0,140.58,53.55,10.56,5.54
13400.0,139.8,54.17,6.76,2.99
13500.0,138.86,53.54,8.36,2.67
13600.0,136.26,54.06,8.16,2.98
13700.0,134.94,53.69,7.65,2.71
13800.0,135.7,53.22,6.51,2.8
13900.0,138.21,53.69,7.35,2.85
14000.0,138.01,53.55,8.15,2.92
14100.0,137.15,53.7,7.35,3.15
14200.0,134.23,53.83,8.62,2.87
14300.0,140.46,53.97,8.91,2.62
14400.0,141.21,54.26,11.8,7.47
14500.0,139.37,53.94,10.48,4.8
14600.0,142.43,54.09,13.57,6.91
14700.0,140.83,55.04,7.29,3.15
14800.0,143.15,54.66,7.71,2.93
14900.0,141.5,54.12,8.52,2.77
15000.0,141.52,54.25,8.26,3.24
15100.0,144.13,54.22,9.14,2.84
15200.0,140.95,54.23,7.73,2.73
15300.0,146.23,54.89,6.38,2.88
15400.0,143.6,54.38,7.22,2.86
15500.0,145.08,54.25,7.72,2.84
15600.0,145.02,54.36,9.42,2.82
15700.0,144.92,54.28,6.84,3.89
15800.0,141.5,54.23,12.97,7.3
15900.0,145.25,54.27,9.07,6.28
16000.0,140.69,54.24,9.61,2.94
16100.0,141.89,54.42,7.99,3.47
16200.0,141.94,54.57,13.17,7.41
16300.0,142.46,55.01,7.47,2.8
16400.0,143.94,55.28,7.76,2.89
16500.0,144.94,55.26,6.68,2.8
16600.0,143.49,55.66,7.27,3.03
16700.0,144.23,55.36,7.58,2.83
16800.0,143.04,55.05,8.66,2.74
16900.0,140.11,54.77,8.86,2.92
17000.0,142.63,54.1,7.97,2.97
17100.0,142.54,54.45,9.19,2.9
17200.0,139.82,54.19,9.35,2.92
17300.0,135.49,54.02,9.67,3.08
17400.0,138.2,53.79,10.03,2.77
17500.0,139.41,53.28,10.11,2.78
17600.0,138.95,53.66,9.36,2.87
17700.0,138.82,53.6,9.7,2.86
17800.0,137.29,54.45,6.11,2.73
17900.0,136.98,54.15,8.06,2.75
18000.0,138.16,53.92,8.32,2.7
18100.0,138.49,54.28,7.32,2.72
18200.0,141.31,54.31,11.45,7.14
18300.0,140.08,54.05,17.65,8.86
18400.0,136.7,53.77,11.74,7.16
18500.0,137.3,53.58,12.61,6.96
18600.0,139.26,53.28,9.24,4.37
18700.0,139.53,53.03,13.02,6.04
18800.0,140.67,52.65,13.59,7.76
18900.0,140.02,52.82,13.27,7.12
19000.0,141.86,52.36,13.55,7.82
19100.0,140.84,52.85,10.12,2.83
19200.0,139.8,51.87,10.89,2.88
19300.0,139.13,52.58,9.32,2.7
19400.0,142.52,52.09,14.49,7.42
19500.0,141.69,51.36,12.33,4.06
19600.0,139.46,51.36,10.45,2.79
19700.0,137.72,51.66,10.52,2.75
19800.0,136.8,51.18,12.5,7.82
19900.0,137.49,51.2,12.39,5.94
20000.0,140.16,51.8,12.49,7.53
